43; 47; '2.213749'; '46.227638'; 1596379620
77; 66; '1.8164167'; '43.2672095'; 1596470016
78; 66; '1.8164169'; '43.2672096'; 1596470049
79; 66; '1.820415'; '43.2729067'; 1596470186
80; 66; '1.820415'; '43.2729067'; 1596470253
81; 66; '1.8152115'; '43.2671179'; 1596470268
82; 66; '1.8066533'; '43.26869'; 1596470900
83; 66; '1.8055067'; '43.2681133'; 1596470933
84; 66; '1.8160037'; '43.266911'; 1596471738
85; 67; '1.854832'; '43.2794047'; 1596523677
86; 67; '1.854832'; '43.2794047'; 1596523737
87; 67; '1.854832'; '43.2794047'; 1596523743
88; 67; '1.854832'; '43.2794047'; 1596523794
89; 67; '1.7853805'; '43.2949035'; 1596525042
90; 67; '1.7275739'; '43.3853711'; 1596525903
91; 67; '1.7065778'; '43.3997574'; 1596526007
92; 67; '1.7065778'; '43.3997574'; 1596526007
93; 67; '1.7065778'; '43.3997574'; 1596526068
94; 67; '1.7071918'; '43.3994651'; 1596526080
95; 67; '1.7071083'; '43.399495'; 1596526155
96; 67; '1.706579'; '43.3997553'; 1596526287
97; 67; '1.7075398'; '43.3999267'; 1596526812
98; 67; '1.706577'; '43.3997571'; 1596527147
99; 67; '1.7084234'; '43.4022296'; 1596527274
100; 67; '1.7053126'; '43.3997605'; 1596527864
101; 67; '1.7053169'; '43.3997522'; 1596527902
102; 67; '1.7053128'; '43.3997608'; 1596527914
103; 67; '1.7053181'; '43.3997535'; 1596528051
104; 67; '1.7053126'; '43.3997605'; 1596528121
105; 67; '1.7512958'; '43.3536607'; 1596528830
106; 67; '1.8536298'; '43.2790263'; 1596529615
107; 68; '42.9593817'; '1.7728417'; 1596603889
108; 68; '42.9763903'; '1.6580036'; 1596610014
109; 68; '1.6580036'; '42.9763903'; 1596610014
110; 68; '1.6580036'; '42.9763903'; 1596610028
111; 68; '1.68245'; '42.9761417'; 1596610074
112; 68; '1.6824513'; '42.9760884'; 1596606490
113; 68; '1.6824567'; '42.9760883'; 1596610125
114; 68; '1.6580036'; '42.9763903'; 1596610495
115; 68; '1.6580036'; '42.9763903'; 1596610586
116; 68; '1.6580036'; '42.9763903'; 1596610635
117; 68; '1.7263578'; '42.9705218'; 1596612022
118; 68; '1.7357839'; '43.0004516'; 1596612694
119; 68; '1.7357839'; '43.0004516'; 1596612719
120; 68; '1.7357839'; '43.0004516'; 1596612817
121; 68; '1.7357839'; '43.0004516'; 1596613946
122; 68; '1.7357839'; '43.0004516'; 1596614089
123; 68; '1.7555133'; '43.0020383'; 1596614132
124; 68; '1.7357839'; '43.0004516'; 1596614461
125; 68; '1.7357839'; '43.0004516'; 1596614518
126; 68; '1.7556067'; '43.0019167'; 1596614546
127; 69; '42.9737797'; '1.8676584'; 1596692105
128; 69; '42.9721867'; '1.8754533'; 1596692116
129; 69; '1.8732846'; '42.9697964'; 1596688530
130; 69; '1.8732845'; '42.9697956'; 1596692140
131; 69; '1.8732833'; '42.969795'; 1596692180
132; 69; '1.8735589'; '42.9694627'; 1596700014
133; 69; '1.8735601'; '42.9694618'; 1596700043
134; 69; '1.8735579'; '42.9694565'; 1596700060
135; 72; '1.8164169'; '43.2672096'; 1596862676
136; 72; '1.8164171'; '43.267211'; 1596863526
137; 72; '1.803042'; '43.3275231'; 1596866814
138; 73; '1.7909695'; '43.3242548'; 1596868738
139; 73; '1.7978646'; '43.3318279'; 1596868873
140; 73; '1.7865117'; '43.3257683'; 1596868884
141; 73; '1.7865826'; '43.3258902'; 1596868900
142; 73; '1.7905564'; '43.3204774'; 1596869310
143; 73; '1.7905564'; '43.3204774'; 1596869955
144; 73; '1.7905564'; '43.3204774'; 1596870681
145; 73; '1.8048695'; '43.2731595'; 1596872226
146; 73; '1.8162651'; '43.2668924'; 1596872913);
